Loading parameters

Initial system energy
-102740.39344255207 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
12.7%	1265000	1164.9999999795455	-101648.66381528089	202.17048068722917	132	1:35:32
12.7%	1270000	1169.9999999794272	-102049.21395784989	201.68888780637462	132	1:35:28
12.8%	1275000	1174.999999979309	-101977.84516943246	200.09279524540048	132	1:35:25
12.8%	1280000	1179.9999999791908	-101675.29779778887	203.05800109634907	132	1:35:22
12.8%	1285000	1184.9999999790725	-102012.50507732434	197.86762258042964	132	1:35:18
12.9%	1290000	1189.9999999789543	-102634.9865198303	196.79244365749773	132	1:35:15
12.9%	1295000	1194.999999978836	-102622.94649969134	205.59064477960757	132	1:35:12
13.0%	1300000	1199.9999999787178	-102309.3348594578	205.36981904244723	132	1:35:09
13.1%	1305000	1204.9999999785996	-102910.4189447225	201.85361141519152	132	1:35:05
13.1%	1310000	1209.9999999784814	-102861.92053380329	202.45059154165145	132	1:35:02
13.2%	1315000	1214.9999999783631	-102288.80941421539	200.62092682582508	132	1:34:58
13.2%	1320000	1219.999999978245	-102046.0802896237	199.7897147451013	132	1:34:55
13.2%	1325000	1224.9999999781267	-102356.13835082436	200.80525316036764	132	1:34:52
13.3%	1330000	1229.9999999780084	-101932.57541195583	203.49436860321663	132	1:34:49
13.3%	1335000	1234.9999999778902	-102143.07676237728	203.25557090893227	132	1:34:45
13.4%	1340000	1239.999999977772	-101298.02337888954	201.88735618265594	132	1:34:42
13.4%	1345000	1244.9999999776537	-102436.49243481783	201.6129209249198	132	1:34:39
13.5%	1350000	1249.9999999775355	-103041.7778877276	201.36810810342226	132	1:34:35
13.6%	1355000	1254.9999999774172	-102818.96315189125	201.06938937041545	132	1:34:32
13.6%	1360000	1259.999999977299	-101290.61644025613	208.37428061727567	132	1:34:28
13.7%	1365000	1264.9999999771808	-101888.32617473463	198.64629924986966	132	1:34:25
13.7%	1370000	1269.9999999770625	-102787.73633324727	202.60625499219685	132	1:34:22
13.8%	1375000	1274.9999999769443	-102344.3671064484	202.31441458558325	132	1:34:19
13.8%	1380000	1279.999999976826	-102102.82771023689	197.51955157212805	132	1:34:16
13.8%	1385000	1284.9999999767078	-102646.94156438811	204.95042021665392	132	1:34:13
13.9%	1390000	1289.9999999765896	-102596.72114125825	205.39087289630865	132	1:34:09
13.9%	1395000	1294.9999999764714	-102369.74358696537	201.18509991592921	132	1:34:05
14.0%	1400000	1299.9999999763531	-102029.83095238172	200.5191395681085	132	1:34:01
14.1%	1405000	1304.999999976235	-101867.95816443907	204.1112397400079	132	1:33:57
14.1%	1410000	1309.9999999761167	-103261.05800268799	204.01798981849532	132	1:33:53
14.2%	1415000	1314.9999999759984	-102166.81737263314	202.61629830329565	132	1:33:49
14.2%	1420000	1319.9999999758802	-102540.97481245687	202.71230978049806	132	1:33:44
14.2%	1425000	1324.999999975762	-101775.76348284539	204.73732345328062	132	1:33:41
14.3%	1430000	1329.9999999756437	-102040.48728242703	201.92400414009612	132	1:33:37
14.3%	1435000	1334.9999999755255	-102742.47854980221	196.75649993474946	132	1:33:33
14.4%	1440000	1339.9999999754073	-102523.3921185704	199.55661017013713	132	1:33:28
14.4%	1445000	1344.999999975289	-101945.99631427648	203.6453194896541	132	1:33:24
14.5%	1450000	1349.9999999751708	-102098.50736430148	203.8758985803471	132	1:33:21
14.6%	1455000	1354.9999999750526	-101854.90593651868	202.7418369200704	132	1:33:17
14.6%	1460000	1359.9999999749343	-102467.36677722959	200.28881313143177	132	1:33:12
14.7%	1465000	1364.999999974816	-103098.2368430486	199.09013855253534	132	1:33:08
14.7%	1470000	1369.9999999746979	-102429.91152516333	200.37118065555478	132	1:33:05
14.8%	1475000	1374.9999999745796	-102627.08089180011	204.62303808362665	132	1:33:01
14.8%	1480000	1379.9999999744614	-102407.16977470322	201.13073767836082	132	1:32:57
