Loading parameters

Initial system energy
-102593.86190879252 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
12.9%	1295000	1194.999999978836	-102840.4492324465	202.66723930170104	130	1:36:06
13.0%	1300000	1199.9999999787178	-102611.04600820225	204.92055010265608	130	1:36:03
13.1%	1305000	1204.9999999785996	-103190.29559774464	205.43696870356254	130	1:35:59
13.1%	1310000	1209.9999999784814	-102829.96800983418	199.99375365538216	130	1:35:56
13.2%	1315000	1214.9999999783631	-103065.16089256061	199.83156963122946	130	1:35:52
13.2%	1320000	1219.999999978245	-103062.966796258	197.82076116803643	130	1:35:49
13.2%	1325000	1224.9999999781267	-103627.45345367957	200.63675255586915	130	1:35:45
13.3%	1330000	1229.9999999780084	-102454.17346075783	203.95115882090056	130	1:35:42
13.3%	1335000	1234.9999999778902	-102549.5225897734	204.76330187004353	130	1:35:38
13.4%	1340000	1239.999999977772	-102972.51567968493	203.8047457008636	130	1:35:35
13.4%	1345000	1244.9999999776537	-102682.33440865204	198.55281604075168	130	1:35:31
13.5%	1350000	1249.9999999775355	-102846.01869534235	203.26220761009236	130	1:35:28
13.6%	1355000	1254.9999999774172	-102753.36256985413	201.94582365332107	130	1:35:24
13.6%	1360000	1259.999999977299	-102865.85139211547	201.71864942477217	130	1:35:21
13.7%	1365000	1264.9999999771808	-102588.58059356175	201.2212109577125	130	1:35:18
13.7%	1370000	1269.9999999770625	-103113.27048150823	201.37692049954995	130	1:35:14
13.8%	1375000	1274.9999999769443	-102555.52152815927	203.34442683940821	130	1:35:10
13.8%	1380000	1279.999999976826	-102903.21156987548	203.84263378601824	130	1:35:07
13.8%	1385000	1284.9999999767078	-102734.07810901338	197.15230660769157	130	1:35:04
13.9%	1390000	1289.9999999765896	-102646.79944700142	202.9549816179	130	1:35:00
13.9%	1395000	1294.9999999764714	-103174.09215780767	204.15172855124362	130	1:34:57
14.0%	1400000	1299.9999999763531	-102511.54348125262	202.10902011329492	130	1:34:54
14.1%	1405000	1304.999999976235	-102164.14903904824	202.17903417813196	130	1:34:51
14.1%	1410000	1309.9999999761167	-102725.56112366589	203.71339531048037	130	1:34:48
14.2%	1415000	1314.9999999759984	-102962.88819306763	205.36644349131024	130	1:34:44
14.2%	1420000	1319.9999999758802	-103119.96566855116	203.60323329289162	130	1:34:40
14.2%	1425000	1324.999999975762	-102810.2801542338	204.0118108243642	130	1:34:37
14.3%	1430000	1329.9999999756437	-102913.8680229187	202.3897331575461	130	1:34:34
14.3%	1435000	1334.9999999755255	-102499.66244076798	200.90442890047228	130	1:34:30
14.4%	1440000	1339.9999999754073	-103273.7556548263	202.0826604903947	130	1:34:27
14.4%	1445000	1344.999999975289	-102279.84730221517	201.33842416055091	131	1:34:23
14.5%	1450000	1349.9999999751708	-102056.25465513859	205.270456946156	130	1:34:20
14.6%	1455000	1354.9999999750526	-101957.97089947993	208.73241426030893	131	1:34:17
14.6%	1460000	1359.9999999749343	-102363.54115603957	202.35512635664276	131	1:34:13
